gene,observed_count,null_total_count,null_mean_count_per_perm
ZNF26,1,24,0.048
CCR10,1,23,0.046
UBIAD1,1,55,0.11
HCN4,1,38,0.076
CWC27,1,15,0.03
SOX9,1,75,0.15
ZNF540,1,73,0.146
TRMU,1,89,0.178
EVI5L,1,108,0.216
TBC1D14,1,89,0.178
BMS1P5,1,48,0.096
ZDHHC24,1,21,0.042
CFLAR,1,68,0.136
HMGCR,1,17,0.034
ASAP3,1,56,0.112
RGS7,1,8,0.016
C2orf57,1,73,0.146
TAX1BP1,1,13,0.026
CWF19L2,1,40,0.08
ETV4,1,76,0.152
PPP1R2P9,0,202,0.404
PPP1R15A,0,67,0.134
PRDX4,0,63,0.126
PPP1R14A,0,116,0.232
PRICKLE2,0,93,0.186
PRDX3,0,15,0.03
PRDX2,0,158,0.316
PPP1R14D,0,52,0.104
PPP1R14C,0,87,0.174
PPP1R35,0,88,0.176
PRICKLE1,0,135,0.27
PPP1R36,0,87,0.174
PRDX1,0,31,0.062
PPP1R27,0,57,0.114
PRH1,0,130,0.26
PPP1R32,0,83,0.166
PPP1R1B,0,85,0.17
PRDX5,0,128,0.256
PPOX,0,74,0.148
PPP1R13B,0,98,0.196
PPP1R13L,0,31,0.062
PRDM9,0,69,0.138
PPP1R1C,0,162,0.324
PPM1N,0,42,0.084
PREX1,0,46,0.092
PPP1R18,0,75,0.15
PPP1R17,0,19,0.038
PPP1R2,0,26,0.052
PREPL,0,19,0.038
PREX2,0,43,0.086
PRF1,0,129,0.258
PREP,0,12,0.024
PRG2,0,42,0.084
PRELP,0,45,0.09
PPP1R16B,0,41,0.082
PRG3,0,98,0.196
PRELID2,0,154,0.308
PRELID1,0,31,0.062
PPP1R16A,0,95,0.19
PPME1,0,50,0.1
PPP1R1A,0,48,0.096
PPP1R21,0,3,0.006
PPP1R15B,0,17,0.034
PPP1R26,0,75,0.15
PRG4,0,110,0.22
PRDX6,0,159,0.318
PREB,0,93,0.186
PPP2R5D,0,61,0.122
PPP1R37,0,127,0.254
PQBP1,0,66,0.132
PPT1,0,107,0.214
PPP1R14B,0,106,0.212
PPP1R11,0,46,0.092
PPTC7,0,35,0.07
PPWD1,0,6,0.012
PPP2R2D,0,21,0.042
PPY,0,93,0.186
PPY2,0,26,0.052
PQLC1,0,188,0.376
PPP2R3A,0,84,0.168
PPP2R2C,0,46,0.092
PPP2R2B,0,110,0.22
PQLC2,0,110,0.22
PQLC3,0,42,0.084
PPP2R2A,0,24,0.048
PRAC1,0,118,0.236
PPP1CC,0,30,0.06
PPP2R1B,0,29,0.058
PPRC1,0,98,0.196
PPP2R3C,0,49,0.098
PRAF2,0,90,0.18
PPP4R1,0,45,0.09
PPP3CA,0,12,0.024
PPP3CB,0,35,0.07
PPP3CC,0,34,0.068
PPP3R1,0,80,0.16
PPP2R5C,0,4,0.008
PPP3R2,0,123,0.246
PPP1R10,0,15,0.03
PPP4C,0,59,0.118
PPP2R5B,0,63,0.126
PPP6R2,0,18,0.036
PRICKLE3,0,86,0.172
PPP2R5A,0,45,0.09
PPP4R1L,0,60,0.12
PPP4R4,0,178,0.356
PPP2R4,0,80,0.16
PPP5C,0,39,0.078
PPP6C,0,22,0.044
PPP6R1,0,61,0.122
PRADC1,0,96,0.192
PPP2R1A,0,65,0.13
PRDM8,0,159,0.318
PPP1R12B,0,57,0.114
PRDM10,0,42,0.084
PPP1R3D,0,79,0.158
PRDM11,0,25,0.05
PRDM12,0,130,0.26
PRDM13,0,83,0.166
PRDM14,0,54,0.108
PPP1R3C,0,38,0.076
PRDM15,0,70,0.14
PRDM16,0,79,0.158
PRCP,0,61,0.122
PRDM2,0,38,0.076
PPP1R3B,0,79,0.158
PRDM4,0,8,0.016
PPP1R12C,0,125,0.25
PRDM5,0,140,0.28
PPP1R3A,0,129,0.258
PRDM6,0,26,0.052
PRDM7,0,76,0.152
PRDM1,0,58,0.116
PPP1R3E,0,67,0.134
PRAM1,0,113,0.226
PRAMEF12,0,50,0.1
PRAME,0,134,0.268
PPP2CB,0,3,0.006
PPP2CA,0,20,0.04
PRAMEF10,0,64,0.128
PPP1R9B,0,89,0.178
PPP1R9A,0,71,0.142
PPP1CB,0,17,0.034
PPP1R8,0,20,0.04
PPP1R7,0,32,0.064
