gene,observed_count,null_total_count,null_mean_count_per_perm
CNGA3,0,94,0.188
CNGA4,0,89,0.178
CNGB1,0,16,0.032
CNGB3,0,9,0.018
CNIH1,0,22,0.044
CNIH2,0,102,0.204
CNIH3,0,107,0.214
CLEC3B,0,35,0.07
CLEC3A,0,113,0.226
CLEC2D,0,17,0.034
CIB3,0,29,0.058
CHST8,0,66,0.132
CHST9,0,125,0.25
CHSY1,0,62,0.124
CHSY3,0,108,0.216
CHTF18,0,69,0.138
CHTF8,0,32,0.064
CHTOP,0,10,0.02
CHUK,0,4,0.008
CHURC1,0,51,0.102
CIAO1,0,25,0.05
CIAPIN1,0,22,0.044
CIART,0,150,0.3
CIB1,0,65,0.13
CIB2,0,75,0.15
CIB4,0,68,0.136
CHST6,0,103,0.206
CIC,0,70,0.14
CIDEA,0,84,0.168
CIDEB,0,87,0.174
CIDEC,0,25,0.05
CIDECP,0,99,0.198
CIITA,0,52,0.104
CILP,0,22,0.044
CILP2,0,104,0.208
CINP,0,29,0.058
CIPC,0,38,0.076
CIR1,0,84,0.168
CIRBP,0,24,0.048
CIRH1A,0,49,0.098
CISD1,0,65,0.13
CHST7,0,123,0.246
CHST5,0,73,0.146
CLEC2B,0,10,0.02
CHRNB1,0,61,0.122
CHRDL2,0,45,0.09
CHRM1,0,49,0.098
CHRM2,0,56,0.112
CHRM3,0,33,0.066
CHRM4,0,47,0.094
CHRM5,0,69,0.138
CHRNA1,0,46,0.092
CHRNA10,0,34,0.068
CHRNA2,0,84,0.168
CHRNA3,0,62,0.124
CHRNA4,0,43,0.086
CHRNA5,0,64,0.128
CHRNA6,0,28,0.056
CHRNA9,0,71,0.142
CHRNB2,0,31,0.062
CHST4,0,56,0.112
CHRNB3,0,85,0.17
CHRNB4,0,118,0.236
CHRND,0,26,0.052
CHRNE,0,63,0.126
CHRNG,0,48,0.096
CHST1,0,70,0.14
CHST10,0,65,0.13
CHST11,0,83,0.166
CHST12,0,99,0.198
CHST13,0,114,0.228
CHST14,0,102,0.204
CHST15,0,68,0.136
CHST2,0,91,0.182
CHST3,0,120,0.24
CISD2,0,87,0.174
CISH,0,114,0.228
CIT,0,38,0.076
CLDN4,0,63,0.126
CLDN10,0,74,0.148
CLDN11,0,49,0.098
CLDN12,0,129,0.258
CLDN14,0,92,0.184
CLDN15,0,115,0.23
CLDN16,0,41,0.082
CLDN17,0,59,0.118
CLDN18,0,44,0.088
CLDN19,0,36,0.072
CLDN2,0,88,0.176
CLDN20,0,212,0.424
CLDN22,0,64,0.128
CLDN23,0,138,0.276
CLDN3,0,213,0.426
CLDN5,0,134,0.268
CITED1,0,98,0.196
CLDN6,0,82,0.164
CLDN7,0,29,0.058
CLDN8,0,89,0.178
CLDN9,0,117,0.234
CLDND1,0,63,0.126
CLDND2,0,64,0.128
CLEC10A,0,172,0.344
CLEC11A,0,15,0.03
CLEC12A,0,164,0.328
CLEC12B,0,185,0.37
CLEC14A,0,160,0.32
CLEC16A,0,24,0.048
CLEC1A,0,88,0.176
CLEC1B,0,181,0.362
CLDN1,0,37,0.074
CLCNKB,0,15,0.03
CLCNKA,0,76,0.152
CLCN7,0,53,0.106
CITED2,0,71,0.142
CITED4,0,81,0.162
CIZ1,0,101,0.202
CKAP2,0,49,0.098
CKAP2L,0,81,0.162
CKAP4,0,53,0.106
CKAP5,0,44,0.088
CKB,0,67,0.134
CKLF,0,64,0.128
CKM,0,118,0.236
CKMT1A,0,75,0.15
CKMT2,0,56,0.112
CKS1B,0,97,0.194
CKS2,0,128,0.256
CLASP1,0,32,0.064
CLASP2,0,16,0.032
CLASRP,0,132,0.264
CLC,0,119,0.238
CLCA1,0,118,0.236
CLCA2,0,128,0.256
CLCA3P,0,102,0.204
CLCA4,0,144,0.288
CLCC1,0,35,0.07
CLCF1,0,75,0.15
CLCN1,0,63,0.126
CLCN3,0,12,0.024
CLCN4,0,94,0.188
CLCN5,0,96,0.192
CLCN6,0,37,0.074
CNTFR,0,53,0.106
CNTN1,0,22,0.044
CHRD,0,37,0.074
CPNE6,0,32,0.064
CPEB1,0,82,0.164
CPEB2,0,31,0.062
CPEB3,0,68,0.136
CPEB4,0,49,0.098
CPED1,0,88,0.176
CPLX1,0,195,0.39
CPLX2,0,35,0.07
CPLX3,0,44,0.088
CPM,0,97,0.194
CPN1,0,65,0.13
CPN2,0,83,0.166
CPNE2,0,74,0.148
CPNE3,0,50,0.1
CPNE4,0,159,0.318
CPNE7,0,19,0.038
CPD,0,24,0.048
CPNE8,0,75,0.15
CPNE9,0,113,0.226
CPO,0,104,0.208
CPPED1,0,92,0.184
CPQ,0,72,0.144
CPS1,0,64,0.128
CPSF1,0,129,0.258
CPSF2,0,17,0.034
CPSF3,0,1,0.002
CPSF3L,0,76,0.152
CPSF4,0,105,0.21
CPSF6,0,16,0.032
CPSF7,0,42,0.084
CPT1A,0,131,0.262
CPE,0,75,0.15
CPB2,0,35,0.07
CPT2,0,42,0.084
COX7A2,0,32,0.064
COX2,0,68,0.136
COX20,0,91,0.182
COX3,0,108,0.216
COX4I1,0,50,0.1
COX4I2,0,77,0.154
COX5A,0,29,0.058
COX5B,0,59,0.118
COX6A1,0,62,0.124
COX6A2,0,97,0.194
COX6B1,0,46,0.092
COX6B1P3,0,105,0.21
COX6B2,0,51,0.102
COX6C,0,30,0.06
COX7A1,0,72,0.144
COX7A2L,0,31,0.062
CPB1,0,80,0.16
COX7A2P2,0,85,0.17
COX7B,0,56,0.112
COX7B2,0,134,0.268
COX7C,0,34,0.068
COX8A,0,39,0.078
COX8C,0,39,0.078
CP,0,85,0.17
CPA1,0,30,0.06
CPA2,0,135,0.27
CPA3,0,189,0.378
CPA4,0,78,0.156
CPA5,0,61,0.122
CPA6,0,189,0.378
CPAMD8,0,54,0.108
CPT1C,0,32,0.064
CPTP,0,138,0.276
CNTN2,0,77,0.154
CRLF1,0,62,0.124
CRHR1,0,41,0.082
CRHR2,0,62,0.124
CRIM1,0,118,0.236
CRIP1,0,111,0.222
CRIP2,0,139,0.278
CRIP3,0,67,0.134
CRIPAK,0,129,0.258
CRIPT,0,41,0.082
CRISP1,0,126,0.252
CRISP2,0,42,0.084
CRISP3,0,144,0.288
CRISPLD1,0,79,0.158
CRISPLD2,0,94,0.188
CRK,0,39,0.078
CRLF2,0,71,0.142
CRH,0,139,0.278
CRLS1,0,32,0.064
CRMP1,0,14,0.028
CRNKL1,0,12,0.024
CRNN,0,16,0.032
CROCC,0,63,0.126
CROCCP3,0,104,0.208
CROT,0,23,0.046
CRP,0,42,0.084
CRTAC1,0,75,0.15
CRTAM,0,37,0.074
CRTAP,0,67,0.134
CRTC1,0,97,0.194
CRTC2,0,120,0.24
CRTC3,0,31,0.062
CRHBP,0,189,0.378
CREM,0,104,0.208
CPVL,0,113,0.226
CRB3,0,60,0.12
CPXCR1,0,73,0.146
CPXM1,0,52,0.104
CPXM2,0,48,0.096
CPZ,0,45,0.09
CR1,0,60,0.12
CR1L,0,159,0.318
CR2,0,94,0.188
CRABP1,0,50,0.1
CRABP2,0,81,0.162
CRADD,0,113,0.226
CRAMP1L,0,37,0.074
CRAT,0,113,0.226
CRB1,0,52,0.104
CRB2,0,44,0.088
CRCP,0,50,0.1
CRELD2,0,148,0.296
CRCT1,0,72,0.144
CREB1,0,23,0.046
CREB3,0,42,0.084
CREB3L1,0,9,0.018
CREB3L2,0,145,0.29
CREB3L3,0,44,0.088
CREB3L4,0,84,0.168
CREB5,0,87,0.174
CREBBP,0,56,0.112
CREBL2,0,21,0.042
CREBRF,0,30,0.06
CREG1,0,110,0.22
CREG2,0,52,0.104
CRELD1,0,86,0.172
COX19,0,35,0.07
COX18,0,50,0.1
COX17,0,44,0.088
COL27A1,0,7,0.014
COL15A1,0,99,0.198
COL16A1,0,59,0.118
COL17A1,0,54,0.108
COL18A1,0,96,0.192
COL19A1,0,163,0.326
COL1A1,0,8,0.016
COL1A2,0,62,0.124
COL20A1,0,34,0.068
COL21A1,0,55,0.11
COL22A1,0,12,0.024
COL23A1,0,44,0.088
COL24A1,0,115,0.23
COL25A1,0,22,0.044
COL26A1,0,27,0.054
COL28A1,0,97,0.194
COL13A1,0,32,0.064
COL2A1,0,72,0.144
COL3A1,0,31,0.062
COL4A1,0,58,0.116
COL4A2,0,41,0.082
COL4A3,0,28,0.056
COL4A3BP,0,26,0.052
COL4A4,0,60,0.12
COL4A5,0,45,0.09
COL4A6,0,29,0.058
COL5A1,0,70,0.14
COL5A2,0,42,0.084
COL5A3,0,51,0.102
COL6A1,0,29,0.058
COL6A2,0,110,0.22
COL14A1,0,8,0.016
COL12A1,0,9,0.018
COX15,0,18,0.036
COA6,0,64,0.128
CNTN3,0,134,0.268
CNTN4,0,32,0.064
CNTN5,0,52,0.104
CNTN6,0,80,0.16
CNTNAP1,0,40,0.08
CNTNAP2,0,111,0.222
CNTNAP4,0,59,0.118
CNTNAP5,0,32,0.064
CNTRL,0,29,0.058
CNTROB,0,129,0.258
COA1,0,61,0.122
COA3,0,26,0.052
COA4,0,59,0.118
COA5,0,5,0.01
COA7,0,162,0.324
COL11A2,0,43,0.086
COASY,0,99,0.198
COBL,0,124,0.248
COBLL1,0,89,0.178
COCH,0,131,0.262
COG1,0,10,0.02
COG2,0,12,0.024
COG3,0,2,0.004
COG4,0,16,0.032
COG5,0,34,0.068
COG6,0,4,0.008
COG7,0,46,0.092
COIL,0,30,0.06
COL10A1,0,76,0.152
COL11A1,0,75,0.15
COL6A3,0,32,0.064
COL6A5,0,107,0.214
COL6A6,0,59,0.118
COQ6,0,87,0.174
COPS4,0,38,0.076
COPS5,0,4,0.008
COPS6,0,20,0.04
COPS7A,0,43,0.086
COPS7B,0,59,0.118
COPS8,0,30,0.06
COPZ1,0,38,0.076
COPZ2,0,103,0.206
COQ10A,0,73,0.146
COQ10B,0,40,0.08
COQ2,0,77,0.154
COQ3,0,96,0.192
COQ4,0,181,0.362
COQ5,0,64,0.128
COQ7,0,121,0.242
COL7A1,0,46,0.092
COQ9,0,73,0.146
CORIN,0,11,0.022
CORO1A,0,60,0.12
CORO1B,0,69,0.138
CORO1C,0,35,0.07
CORO2A,0,110,0.22
CORO2B,0,100,0.2
CORO6,0,78,0.156
CORO7,0,47,0.094
COTL1,0,57,0.114
COX1,0,94,0.188
COX10,0,125,0.25
COX11,0,17,0.034
COX14,0,17,0.034
COPS3,0,54,0.108
COPS2,0,16,0.032
COPRS,0,119,0.238
COPG1,0,49,0.098
COL8A1,0,94,0.188
COL8A2,0,32,0.064
COL9A1,0,39,0.078
COL9A2,0,99,0.198
COL9A3,0,137,0.274
COLCA1,0,73,0.146
COLEC10,0,35,0.07
COLEC11,0,28,0.056
COLEC12,0,82,0.164
COLGALT1,0,70,0.14
COLGALT2,0,134,0.268
COLQ,0,120,0.24
COMMD1,0,16,0.032
COMMD10,0,4,0.008
COMMD2,0,18,0.036
COMMD3,0,10,0.02
COMMD4,0,92,0.184
COMMD5,0,99,0.198
COMMD6,0,54,0.108
COMMD7,0,40,0.08
COMMD8,0,26,0.052
COMMD9,0,36,0.072
COMP,0,61,0.122
COMT,0,57,0.114
COMTD1,0,34,0.068
COPA,0,71,0.142
COPB1,0,35,0.07
COPB2,0,41,0.082
COPE,0,27,0.054
CHRDL1,0,104,0.208
CHRAC1,0,51,0.102
CRY1,0,25,0.05
CD55,0,90,0.18
CD3D,0,32,0.064
CD3E,0,106,0.212
CD3EAP,0,36,0.072
CD3G,0,75,0.15
CD4,0,152,0.304
CD40,0,137,0.274
CD40LG,0,89,0.178
CD44,0,29,0.058
CD46,0,34,0.068
CD47,0,14,0.028
CD48,0,20,0.04
CD5,0,74,0.148
CD52,0,51,0.102
CD53,0,57,0.114
CD58,0,104,0.208
CD37,0,55,0.11
CD59,0,64,0.128
CD5L,0,11,0.022
CD6,0,57,0.114
CD68,0,162,0.324
CD7,0,90,0.18
CD70,0,71,0.142
CD72,0,89,0.178
CD74,0,97,0.194
CD79B,0,69,0.138
CD80,0,98,0.196
CD81,0,43,0.086
CD82,0,121,0.242
CD83,0,108,0.216
CD84,0,86,0.172
CD38,0,111,0.222
CD34,0,51,0.102
CD8A,0,49,0.098
CD24,0,120,0.24
CD180,0,73,0.146
CD19,0,103,0.206
CD1A,0,97,0.194
CD1B,0,64,0.128
CD1C,0,159,0.318
CD1D,0,106,0.212
CD1E,0,162,0.324
CD2,0,94,0.188
CD200,0,78,0.156
CD200R1,0,49,0.098
CD207,0,41,0.082
CD209,0,9,0.018
CD22,0,103,0.206
CD226,0,59,0.118
CD244,0,61,0.122
CD33,0,135,0.27
CD247,0,34,0.068
CD248,0,43,0.086
CD27,0,99,0.198
CD274,0,90,0.18
CD276,0,17,0.034
CD28,0,27,0.054
CD2AP,0,5,0.01
CD2BP2,0,26,0.052
CD300A,0,56,0.112
CD300C,0,103,0.206
CD300LB,0,116,0.232
CD300LF,0,132,0.264
CD300LG,0,4,0.008
CD320,0,97,0.194
CD86,0,75,0.15
CD8B,0,113,0.226
CDH26,0,103,0.206
CDCA8,0,105,0.21
CDC42EP5,0,19,0.038
CDC42SE1,0,99,0.198
CDC42SE2,0,35,0.07
CDC45,0,47,0.094
CDC5L,0,46,0.092
CDC6,0,104,0.208
CDC7,0,127,0.254
CDC73,0,13,0.026
CDCA2,0,112,0.224
CDCA3,0,123,0.246
CDCA4,0,123,0.246
CDCA5,0,88,0.176
CDCA7,0,113,0.226
CDCA7L,0,34,0.068
CDCP1,0,66,0.132
CDC42EP3,0,60,0.12
CDH1,0,80,0.16
CDH10,0,45,0.09
CDH11,0,45,0.09
CDH12,0,123,0.246
CDH13,0,89,0.178
CDH15,0,54,0.108
CDH16,0,19,0.038
CDH17,0,77,0.154
CDH18,0,143,0.286
CDH19,0,42,0.084
CDH2,0,85,0.17
CDH20,0,156,0.312
CDH22,0,62,0.124
CDH23,0,169,0.338
CDC42EP4,0,58,0.116
CDC42EP2,0,115,0.23
CD9,0,138,0.276
CDC20B,0,95,0.19
CD93,0,107,0.214
CD96,0,26,0.052
CD97,0,114,0.228
CD99,0,87,0.174
CD99L2,0,94,0.188
CDA,0,131,0.262
CDADC1,0,38,0.076
CDAN1,0,38,0.076
CDC123,0,43,0.086
CDC14A,0,54,0.108
CDC14B,0,193,0.386
CDC14C,0,98,0.196
CDC16,0,17,0.034
CDC20,0,95,0.19
CDC23,0,7,0.014
CDC42EP1,0,54,0.108
CDC25A,0,60,0.12
CDC25B,0,92,0.184
CDC25C,0,127,0.254
CDC26,0,35,0.07
CDC27,0,15,0.03
CDC34,0,81,0.162
CDC37,0,63,0.126
CDC37L1,0,7,0.014
CDC37P1,0,123,0.246
CDC40,0,12,0.024
CDC42,0,61,0.122
CDC42BPA,0,104,0.208
CDC42BPB,0,100,0.2
CDC42BPG,0,37,0.074
CD177,0,77,0.154
CD164,0,53,0.106
CD163L1,0,76,0.152
CCL1,0,55,0.11
CCDC9,0,168,0.336
CCDC90B,0,61,0.122
CCDC91,0,1,0.002
CCDC92,0,52,0.104
CCDC93,0,3,0.006
CCDC94,0,115,0.23
CCDC96,0,100,0.2
CCDC97,0,75,0.15
CCER1,0,177,0.354
CCHCR1,0,41,0.082
CCIN,0,98,0.196
CCK,0,47,0.094
CCKAR,0,135,0.27
CCKBR,0,125,0.25
CCL11,0,21,0.042
CCDC88C,0,47,0.094
CCL13,0,20,0.04
CCL14,0,76,0.152
CCL16,0,44,0.088
CCL17,0,48,0.096
CCL18,0,12,0.024
CCL19,0,69,0.138
CCL2,0,45,0.09
CCL20,0,132,0.264
CCL21,0,45,0.09
CCL22,0,51,0.102
CCL23,0,54,0.108
CCL24,0,52,0.104
CCL25,0,55,0.11
CCL26,0,86,0.172
CCDC89,0,64,0.128
CCDC88B,0,155,0.31
CD160,0,88,0.176
CCDC71,0,58,0.116
CCDC6,0,48,0.096
CCDC60,0,34,0.068
CCDC61,0,107,0.214
CCDC62,0,152,0.304
CCDC63,0,58,0.116
CCDC64,0,106,0.212
CCDC64B,0,120,0.24
CCDC65,0,147,0.294
CCDC66,0,43,0.086
CCDC67,0,82,0.164
CCDC68,0,81,0.162
CCDC69,0,28,0.056
CCDC7,0,78,0.156
CCDC70,0,38,0.076
CCDC71L,0,53,0.106
CCDC88A,0,41,0.082
CCDC74A,0,103,0.206
CCDC77,0,73,0.146
CCDC78,0,41,0.082
CCDC79,0,156,0.312
CCDC8,0,30,0.06
CCDC80,0,137,0.274
CCDC81,0,94,0.188
CCDC83,0,140,0.28
CCDC84,0,33,0.066
CCDC85A,0,93,0.186
CCDC85B,0,52,0.104
CCDC85C,0,50,0.1
CCDC86,0,87,0.174
CCDC87,0,86,0.172
CCL27,0,101,0.202
CCL28,0,64,0.128
CCL3,0,84,0.168
CCSER1,0,119,0.238
CCNYL2,0,169,0.338
CCP110,0,41,0.082
CCR1,0,118,0.236
CCR3,0,187,0.374
CCR4,0,102,0.204
CCR5,0,140,0.28
CCR6,0,79,0.158
CCR7,0,68,0.136
CCR8,0,86,0.172
CCR9,0,139,0.278
CCRL2,0,127,0.254
CCRN4L,0,182,0.364
CCS,0,82,0.164
CCSAP,0,84,0.168
CCSER2,0,57,0.114
CCL4,0,116,0.232
CCT2,0,21,0.042
CCT3,0,38,0.076
CCT4,0,31,0.062
CCT5,0,30,0.06
CCT6A,0,40,0.08
CCT6B,0,97,0.194
CCT7,0,20,0.04
CCT8,0,18,0.036
CCT8L2,0,54,0.108
CCZ1,0,25,0.05
CD101,0,184,0.368
CD109,0,128,0.256
CD14,0,117,0.234
CD151,0,114,0.228
CCNYL1,0,36,0.072
CCNY,0,43,0.086
CCNT2,0,38,0.076
CCNT1,0,21,0.042
CCL5,0,155,0.31
CCL7,0,131,0.262
CCL8,0,65,0.13
CCM2,0,45,0.09
CCM2L,0,80,0.16
CCNA1,0,96,0.192
CCNA2,0,144,0.288
CCNB1,0,92,0.184
CCNB1IP1,0,75,0.15
CCNB2,0,116,0.232
CCNB3,0,93,0.186
CCNC,0,12,0.024
CCND1,0,54,0.108
CCND2,0,56,0.112
CCND3,0,69,0.138
CCNDBP1,0,45,0.09
CCNE1,0,159,0.318
CCNE2,0,101,0.202
CCNF,0,101,0.202
CCNG1,0,17,0.034
CCNG2,0,43,0.086
CCNH,0,9,0.018
CCNI,0,117,0.234
CCNJ,0,60,0.12
CCNJL,0,90,0.18
CCNK,0,41,0.082
CCNL1,0,7,0.014
CCNL2,0,51,0.102
CCNO,0,14,0.028
CDH24,0,62,0.124
CDH3,0,51,0.102
CHPT1,0,144,0.288
CFC1B,0,59,0.118
CERS3,0,33,0.066
CERS4,0,166,0.332
CERS5,0,60,0.12
CERS6,0,40,0.08
CES1P1,0,86,0.172
CES2,0,56,0.112
CES3,0,9,0.018
CES4A,0,70,0.14
CES5A,0,73,0.146
CETN1,0,97,0.194
CETN2,0,82,0.164
CETN3,0,29,0.058
CETP,0,46,0.092
CFB,0,23,0.046
CFD,0,182,0.364
CERS1,0,91,0.182
CFDP1,0,67,0.134
CFH,0,135,0.27
CFHR2,0,168,0.336
CFHR3,0,105,0.21
CFHR4,0,135,0.27
CFHR5,0,84,0.168
CFI,0,89,0.178
CFL1,0,55,0.11
CFL2,0,47,0.094
CFP,0,80,0.16
CFTR,0,42,0.084
CGA,0,30,0.06
CGB,0,88,0.176
CGB1,0,36,0.072
CERS2,0,25,0.05
CERK,0,14,0.028
CGN,0,74,0.148
CEP57,0,19,0.038
CEP135,0,9,0.018
CEP152,0,26,0.052
CEP162,0,15,0.03
CEP164,0,48,0.096
CEP170,0,93,0.186
CEP170B,0,52,0.104
CEP19,0,42,0.084
CEP192,0,41,0.082
CEP250,0,47,0.094
CEP290,0,29,0.058
CEP350,0,7,0.014
CEP41,0,59,0.118
CEP44,0,5,0.01
CEP55,0,99,0.198
CEP57L1,0,98,0.196
CERCAM,0,41,0.082
CEP63,0,51,0.102
CEP68,0,61,0.122
CEP70,0,47,0.094
CEP72,0,68,0.136
CEP76,0,64,0.128
CEP78,0,61,0.122
CEP83,0,33,0.066
CEP85,0,49,0.098
CEP85L,0,16,0.032
CEP89,0,84,0.168
CEP95,0,23,0.046
CEP97,0,37,0.074
CEPT1,0,15,0.03
CER1,0,86,0.172
CGGBP1,0,23,0.046
CGNL1,0,68,0.136
CDH4,0,37,0.074
CHMP2B,0,17,0.034
CHGB,0,83,0.166
CHI3L1,0,162,0.324
CHI3L2,0,78,0.156
CHIA,0,62,0.124
CHIAP2,0,70,0.14
CHIC1,0,54,0.108
CHIC2,0,65,0.13
CHID1,0,106,0.212
CHIT1,0,53,0.106
CHKA,0,78,0.156
CHL1,0,98,0.196
CHM,0,63,0.126
CHMP1A,0,138,0.276
CHMP2A,0,88,0.176
CHMP3,0,42,0.084
CHFR,0,38,0.076
CHMP4A,0,54,0.108
CHMP4B,0,96,0.192
CHMP4C,0,105,0.21
CHMP5,0,34,0.068
CHMP6,0,117,0.234
CHMP7,0,39,0.078
CHN1,0,72,0.144
CHN2,0,130,0.26
CHODL,0,33,0.066
CHORDC1,0,30,0.06
CHP1,0,56,0.112
CHP2,0,161,0.322
CHPF,0,103,0.206
CHPF2,0,53,0.106
CHGA,0,89,0.178
CHERP,0,90,0.18
CGREF1,0,112,0.224
CHCHD4,0,59,0.118
CGRRF1,0,28,0.056
CH25H,0,38,0.076
CHAC1,0,72,0.144
CHAC2,0,115,0.23
CHAD,0,89,0.178
CHADL,0,96,0.192
CHAF1A,0,71,0.142
CHAF1B,0,135,0.27
CHAMP1,0,50,0.1
CHAT,0,55,0.11
CHCHD1,0,21,0.042
CHCHD10,0,143,0.286
CHCHD2,0,22,0.044
CHCHD3,0,34,0.068
CHCHD5,0,159,0.318
CHEK2,0,99,0.198
CHCHD6,0,46,0.092
CHCHD7,0,7,0.014
CHD1,0,35,0.07
CHD1L,0,50,0.1
CHD3,0,74,0.148
CHD4,0,76,0.152
CHD5,0,32,0.064
CHD6,0,32,0.064
CHD7,0,69,0.138
CHD8,0,63,0.126
CHD9,0,1,0.002
CHDC2,0,48,0.096
CHDH,0,30,0.06
CHEK1,0,112,0.224
CEP131,0,53,0.106
CEP128,0,40,0.08
CEP120,0,33,0.066
CDKN2B,0,119,0.238
CDK7,0,27,0.054
CDK8,0,38,0.076
CDK9,0,97,0.194
CDKAL1,0,35,0.07
CDKL1,0,177,0.354
CDKL2,0,40,0.08
CDKL3,0,100,0.2
CDKL5,0,109,0.218
CDKN1A,0,110,0.22
CDKN1B,0,58,0.116
CDKN1C,0,97,0.194
CDKN2A,0,201,0.402
CDKN2AIP,0,26,0.052
CDKN2AIPNL,0,39,0.078
CDKN2C,0,112,0.224
CDK5RAP2,0,52,0.104
CDKN2D,0,125,0.25
CDKN3,0,128,0.256
CDNF,0,113,0.226
CDO1,0,132,0.264
CDON,0,128,0.256
CDPF1,0,123,0.246
CDR1,0,157,0.314
CDR2,0,56,0.112
CDR2L,0,70,0.14
CDRT1,0,54,0.108
CDRT15,0,76,0.152
CDRT4,0,139,0.278
CDS1,0,151,0.302
CDS2,0,31,0.062
CDK6,0,39,0.078
CDK5RAP1,0,22,0.044
CEP112,0,112,0.224
CDK12,0,4,0.008
CDH5,0,129,0.258
CDH6,0,22,0.044
CDH7,0,50,0.1
CDH8,0,43,0.086
CDH9,0,105,0.21
CDHR1,0,30,0.06
CDHR2,0,70,0.14
CDHR3,0,123,0.246
CDHR5,0,17,0.034
CDIP1,0,144,0.288
CDIPT,0,62,0.124
CDK1,0,163,0.326
CDK10,0,68,0.136
CDK11A,0,114,0.228
CDK13,0,40,0.08
CDK5R2,0,96,0.192
CDK14,0,77,0.154
CDK15,0,35,0.07
CDK16,0,80,0.16
CDK17,0,19,0.038
CDK18,0,101,0.202
CDK19,0,41,0.082
CDK2,0,117,0.234
CDK20,0,64,0.128
CDK2AP1,0,66,0.132
CDK2AP2,0,76,0.152
CDK3,0,82,0.164
CDK4,0,89,0.178
CDK5,0,78,0.156
CDK5R1,0,91,0.182
CDSN,0,11,0.022
CDT1,0,114,0.228
CDV3,0,39,0.078
CENPH,0,98,0.196
CELF6,0,37,0.074
CELP,0,125,0.25
CELSR1,0,62,0.124
CELSR2,0,36,0.072
CELSR3,0,1,0.002
CEMIP,0,40,0.08
CEMP1,0,61,0.122
CEND1,0,48,0.096
CENPB,0,106,0.212
CENPBD1,0,83,0.166
CENPBD1P1,0,108,0.216
CENPC,0,13,0.026
CENPE,0,166,0.332
CENPF,0,147,0.294
CENPI,0,144,0.288
CDX1,0,109,0.218
CENPJ,0,68,0.136
CENPK,0,226,0.452
CENPL,0,50,0.1
CENPM,0,145,0.29
CENPN,0,132,0.264
CENPO,0,118,0.236
CENPP,0,143,0.286
CENPQ,0,72,0.144
CENPT,0,114,0.228
CENPU,0,87,0.174
CENPV,0,98,0.196
CENPVP1,0,87,0.174
CENPW,0,80,0.16
CEP104,0,41,0.082
CELF5,0,27,0.054
CELF4,0,40,0.08
CELF3,0,42,0.084
CELF2,0,27,0.054
CDX2,0,128,0.256
CDX4,0,60,0.12
CDYL,0,55,0.11
CDYL2,0,74,0.148
CEACAM1,0,127,0.254
CEACAM19,0,53,0.106
CEACAM21,0,202,0.404
CEACAM3,0,104,0.208
CEACAM4,0,114,0.228
CEACAM5,0,99,0.198
CEACAM6,0,120,0.24
CEACAM7,0,68,0.136
CEACAM8,0,126,0.252
CEBPA,0,118,0.236
CEBPB,0,97,0.194
CEBPD,0,136,0.272
CEBPE,0,106,0.212
CEBPZ,0,33,0.066
CECR1,0,90,0.18
CECR2,0,31,0.062
CECR5,0,137,0.274
CECR6,0,73,0.146
CEL,0,58,0.116
CELA1,0,93,0.186
CELA2A,0,94,0.188
CELA2B,0,62,0.124
CELA3A,0,27,0.054
CELA3B,0,70,0.14
CELF1,0,20,0.04
CRX,0,74,0.148
CRY2,0,108,0.216
MBD3L1,0,146,0.292
DNM3,0,175,0.35
DNASE1,0,108,0.216
DNASE1L1,0,171,0.342
DNASE1L2,0,139,0.278
DNASE1L3,0,65,0.13
DNASE2,0,111,0.222
DNASE2B,0,91,0.182
DND1,0,111,0.222
DNER,0,90,0.18
DNHD1,0,68,0.136
DNM1,0,160,0.32
DNM1L,0,10,0.02
DNM1P35,0,51,0.102
DNM1P46,0,137,0.274
DNM2,0,15,0.03
DNMBP,0,138,0.276
DNAL4,0,45,0.09
DNMT1,0,9,0.018
DNMT3A,0,53,0.106
DNMT3B,0,53,0.106
DNMT3L,0,73,0.146
DNPEP,0,40,0.08
DNTT,0,69,0.138
DNTTIP1,0,86,0.172
DNTTIP2,0,17,0.034
DOC2A,0,127,0.254
DOC2B,0,101,0.202
DOCK1,0,41,0.082
DOCK10,0,31,0.062
DOCK11,0,13,0.026
DOCK2,0,45,0.09
DNALI1,0,95,0.19
DNAL1,0,109,0.218
DOCK4,0,101,0.202
DNAJC18,0,42,0.084
DNAJB5,0,50,0.1
DNAJB6,0,52,0.104
DNAJB7,0,114,0.228
DNAJB8,0,34,0.068
DNAJB9,0,76,0.152
DNAJC1,0,43,0.086
DNAJC10,0,9,0.018
DNAJC11,0,18,0.036
DNAJC12,0,103,0.206
DNAJC13,0,35,0.07
DNAJC14,0,17,0.034
DNAJC15,0,64,0.128
DNAJC16,0,36,0.072
DNAJC17,0,148,0.296
DNAJC19,0,15,0.03
DNAJC9,0,32,0.064
DNAJC2,0,30,0.06
DNAJC21,0,27,0.054
DNAJC22,0,114,0.228
DNAJC24,0,33,0.066
DNAJC27,0,54,0.108
DNAJC28,0,82,0.164
DNAJC30,0,173,0.346
DNAJC4,0,125,0.25
DNAJC5,0,95,0.19
DNAJC5B,0,223,0.446
DNAJC5G,0,56,0.112
DNAJC6,0,122,0.244
DNAJC7,0,28,0.056
DNAJC8,0,59,0.118
DOCK3,0,21,0.042
