gene,count,freq
GALNT9,5,0.2
TTC32,5,0.2
KBTBD11,5,0.2
PRPF38B,5,0.2
JPX,5,0.2
ROCK1,5,0.2
FGL2,5,0.2
TPR,5,0.2
TMEM30A,5,0.2
JRKL,5,0.2
TXNRD1,5,0.2
TAOK3,5,0.2
RLF,4,0.16
CCPG1,4,0.16
SNORA21,4,0.16
MGEA5,4,0.16
CD63,4,0.16
HNRNPF,4,0.16
ZNF569,4,0.16
BAZ2B,4,0.16
SARAF,4,0.16
CSNK1A1,4,0.16
UBE2F,4,0.16
FOXP3,4,0.16
LMNB1,4,0.16
CLK4,4,0.16
NRBF2,4,0.16
ZNF224,4,0.16
PRPF4B,3,0.12
ZNF267,3,0.12
ACRC,3,0.12
SLC37A4,3,0.12
PPP4R2,3,0.12
RNF6,3,0.12
PKD2,3,0.12
PPP6R3,3,0.12
ZNF420,3,0.12
ZNF780A,3,0.12
SLTM,3,0.12
SKIV2L2,3,0.12
SFPQ,3,0.12
GNAO1,3,0.12
PSKH2,3,0.12
ARGLU1,3,0.12
ELFN2,3,0.12
MYLK2,3,0.12
CLCN2,3,0.12
WAPAL,3,0.12
USP48,3,0.12
CRKL,3,0.12
DAP3,3,0.12
SMARCA5,3,0.12
CENPA,3,0.12
CD36,3,0.12
UBALD1,3,0.12
IGIP,3,0.12
SCN1B,3,0.12
DLX6,3,0.12
DNPH1,3,0.12
TMEM165,2,0.08
RBM25,2,0.08
ARHGAP30,2,0.08
MPV17L2,2,0.08
AQP1,2,0.08
RPH3A,2,0.08
AMICA1,2,0.08
GIMAP7,2,0.08
IGF2R,2,0.08
HNRNPU,2,0.08
HECA,2,0.08
CUTC,2,0.08
PORCN,2,0.08
RGS18,2,0.08
NEK4,2,0.08
TAF7,2,0.08
SUV420H1,2,0.08
SRSF7,2,0.08
OPTC,2,0.08
FAM208A,2,0.08
ZNF20,2,0.08
SLC39A7,2,0.08
OAT,2,0.08
ATP6V0E2,2,0.08
KCNE3,2,0.08
OTUD7A,2,0.08
DTX4,2,0.08
PPIG,2,0.08
FIZ1,2,0.08
EIF2S3,2,0.08
ZNF638,2,0.08
NFE2L2,2,0.08
PTPRC,2,0.08
SOX5,2,0.08
ARID4A,2,0.08
TGM2,2,0.08
SLMAP,2,0.08
YDJC,2,0.08
MTERF1,2,0.08
VNN2,1,0.04
ARFIP1,1,0.04
ATP6AP2,1,0.04
CCR10,1,0.04
IDI1,1,0.04
CRBN,1,0.04
ETV4,1,0.04
CD69,1,0.04
RGS7,1,0.04
HSPG2,1,0.04
CBX3,1,0.04
CBWD1,1,0.04
BZW1,1,0.04
CWF19L2,1,0.04
ZDHHC12,1,0.04
TRIB3,1,0.04
TPRXL,1,0.04
CWC27,1,0.04
ZBTB1,1,0.04
MRFAP1L1,1,0.04
ENPP1,1,0.04
TGOLN2,1,0.04
KPNB1,1,0.04
KBTBD2,1,0.04
CUL4A,1,0.04
CFLAR,1,0.04
CALCOCO1,1,0.04
AOAH,1,0.04
ZNF254,1,0.04
ZDBF2,1,0.04
ZDHHC24,1,0.04
MICALL2,1,0.04
HCN4,1,0.04
C2orf57,1,0.04
UBIAD1,1,0.04
RPL17,1,0.04
WDR82,1,0.04
TCF20,1,0.04
SRSF4,1,0.04
SMARCA2,1,0.04
SART3,1,0.04
PCNX,1,0.04
NDFIP1,1,0.04
MTF2,1,0.04
EVI5L,1,0.04
CPOX,1,0.04
ERCC5,1,0.04
SIX6,1,0.04
ZFP30,1,0.04
C16orf74,1,0.04
MYOM1,1,0.04
ZNF740,1,0.04
ZNF106,1,0.04
FAM73A,1,0.04
SF3B4,1,0.04
TRMU,1,0.04
TBC1D14,1,0.04
SH3BP5L,1,0.04
ZNF26,1,0.04
NOM1,1,0.04
ZNF540,1,0.04
KBTBD6,1,0.04
DNAJC3,1,0.04
BMS1P5,1,0.04
AZIN1,1,0.04
AGPAT9,1,0.04
ESCO1,1,0.04
HMGB1,1,0.04
HMGN3,1,0.04
NFYB,1,0.04
DNAJA1,1,0.04
ZNF780B,1,0.04
TAX1BP1,1,0.04
ASAP3,1,0.04
SOX9,1,0.04
PSMF1,1,0.04
THUMPD1,1,0.04
CXCR3,1,0.04
ADAM23,1,0.04
ZNF763,1,0.04
ZNF514,1,0.04
YES1,1,0.04
WDR89,1,0.04
THOC2,1,0.04
CAMSAP2,1,0.04
TUBB6,1,0.04
REV1,1,0.04
FAM133B,1,0.04
AGMAT,1,0.04
UPF2,1,0.04
DMPK,1,0.04
B3GNT2,1,0.04
CHML,1,0.04
SLC37A3,1,0.04
SHISA4,1,0.04
PAPSS1,1,0.04
MCEMP1,1,0.04
HMGCR,1,0.04
GJD3,1,0.04
CEBPG,1,0.04
