gene,count,freq
DYNC1LI2,2,0.08
ELFN2,2,0.08
FAM133B,2,0.08
FIZ1,2,0.08
HMGB1,2,0.08
HNRNPU,2,0.08
MGEA5,2,0.08
NOM1,2,0.08
NRBF2,2,0.08
PSMF1,2,0.08
SFPQ,2,0.08
SLC37A4,2,0.08
SOX9,2,0.08
SRSF7,2,0.08
STK4,2,0.08
TCF20,2,0.08
TGOLN2,2,0.08
TMEM165,2,0.08
UBALD1,2,0.08
WDR89,2,0.08
ZNF441,2,0.08
ACIN1,1,0.04
ADAM17,1,0.04
AGPAT9,1,0.04
AOAH,1,0.04
ARHGAP30,1,0.04
ASAP3,1,0.04
ASPHD1,1,0.04
C2orf57,1,0.04
CAMSAP2,1,0.04
CBWD1,1,0.04
CD63,1,0.04
CD79A,1,0.04
CENPA,1,0.04
CFLAR,1,0.04
CHML,1,0.04
CLK4,1,0.04
CRKL,1,0.04
CXCR3,1,0.04
DKC1,1,0.04
DNAJC3,1,0.04
DTX4,1,0.04
ENPP1,1,0.04
ERCC5,1,0.04
ESCO1,1,0.04
FKBP5,1,0.04
FNTA,1,0.04
GJD3,1,0.04
HABP4,1,0.04
HCN4,1,0.04
HMGCR,1,0.04
IDI1,1,0.04
IFNGR1,1,0.04
IGFBP2,1,0.04
KBTBD11,1,0.04
KBTBD2,1,0.04
LRRC36,1,0.04
MCEMP1,1,0.04
MMP11,1,0.04
NFE2L2,1,0.04
OAT,1,0.04
PAPSS1,1,0.04
PLA2G7,1,0.04
RAB3GAP1,1,0.04
RBM25,1,0.04
RPH3A,1,0.04
RPL17,1,0.04
SART3,1,0.04
SH3BP5L,1,0.04
SHISA4,1,0.04
SIX6,1,0.04
SLA,1,0.04
SLC17A9,1,0.04
SLC37A3,1,0.04
SMARCA5,1,0.04
SMOX,1,0.04
SNW1,1,0.04
SRSF4,1,0.04
TAF7,1,0.04
TAX1BP1,1,0.04
TGM2,1,0.04
TPCN2,1,0.04
TPR,1,0.04
TPRXL,1,0.04
TRIB3,1,0.04
UCP2,1,0.04
UPF2,1,0.04
VNN2,1,0.04
YES1,1,0.04
ZBTB1,1,0.04
ZFP30,1,0.04
ZNF226,1,0.04
ZNF252P,1,0.04
ZNF26,1,0.04
ZNF350,1,0.04
ZNF516,1,0.04
ZNF540,1,0.04
ZNF611,1,0.04
ZNF740,1,0.04
ZNF763,1,0.04
ZNF830,1,0.04
