gene,selection_count,selection_frequency
KPNB1,11,0.44
MPHOSPH10,11,0.44
NRBF2,11,0.44
RANBP6,11,0.44
SLA,11,0.44
TAX1BP1,11,0.44
AGPAT9,10,0.4
FNTA,10,0.4
HSD17B11,10,0.4
MRFAP1L1,10,0.4
PPM1B,10,0.4
SLC35A1,10,0.4
ABHD14A,9,0.36
ARHGAP30,9,0.36
E2F3,9,0.36
EGR1,9,0.36
TLR2,9,0.36
TMEM167A,9,0.36
ZFAND6,9,0.36
FCN1,8,0.32
GBE1,8,0.32
JPX,8,0.32
KCNE3,8,0.32
LUC7L3,8,0.32
POLG2,8,0.32
PSMF1,8,0.32
RGS18,8,0.32
SLC35B3,8,0.32
C1orf52,7,0.28
CRY1,7,0.28
DNAJB14,7,0.28
EXOC1,7,0.28
IMPA1,7,0.28
MGC70870,7,0.28
MYH9,7,0.28
RNF138,7,0.28
SPG20,7,0.28
CARM1,6,0.24
CXCR3,6,0.24
ETF1,6,0.24
FGL2,6,0.24
MTRF1L,6,0.24
NRIP1,6,0.24
OSBPL8,6,0.24
RPL21,6,0.24
SCAF11,6,0.24
SPAST,6,0.24
ZNF146,6,0.24
ZUFSP,6,0.24
B2M,5,0.2
GIMAP4,5,0.2
GNPAT,5,0.2
HNRNPA1,5,0.2
LAMTOR3,5,0.2
MIR29B2,5,0.2
MTIF2,5,0.2
OAT,5,0.2
PITPNB,5,0.2
RNF20,5,0.2
RPL11,5,0.2
RPS16,5,0.2
RTN3,5,0.2
TOPORS,5,0.2
TRIB3,5,0.2
TTC19,5,0.2
ZNF443,5,0.2
ACBD5,4,0.16
ATP6V1E1,4,0.16
CWC27,4,0.16
GOLT1B,4,0.16
GPRASP1,4,0.16
KLHL2,4,0.16
LYPLAL1,4,0.16
RSRC2,4,0.16
SRSF7,4,0.16
SYF2,4,0.16
ZNF700,4,0.16
ATP6V0C,3,0.12
CA2,3,0.12
DDX21,3,0.12
DHX36,3,0.12
FBXL3,3,0.12
FMR1,3,0.12
GPBP1,3,0.12
GPR146,3,0.12
GYG1,3,0.12
HRASLS2,3,0.12
KLF6,3,0.12
LARP7,3,0.12
LAT2,3,0.12
MAP2K1,3,0.12
NDUFA5,3,0.12
OR51B6,3,0.12
RPS24,3,0.12
SEC11A,3,0.12
SERINC1,3,0.12
TBK1,3,0.12
USP16,3,0.12
ZNF266,3,0.12
ZNF514,3,0.12
ZNF587,3,0.12
AQP4-AS1,2,0.08
ARL4C,2,0.08
C4orf3,2,0.08
CALCOCO1,2,0.08
CCT8,2,0.08
CD99,2,0.08
CEP19,2,0.08
DKC1,2,0.08
DNTTIP2,2,0.08
ENOPH1,2,0.08
FAM122B,2,0.08
FBXO34,2,0.08
HAUS3,2,0.08
HK3,2,0.08
IL36G,2,0.08
INTS4,2,0.08
LBR,2,0.08
MCEMP1,2,0.08
MYBL2,2,0.08
NSRP1,2,0.08
PNMA1,2,0.08
PNPLA8,2,0.08
PORCN,2,0.08
RAD21,2,0.08
RNF139,2,0.08
RPH3A,2,0.08
SIRT7,2,0.08
SLC17A9,2,0.08
SMIM15,2,0.08
SMIM21,2,0.08
UBE2F,2,0.08
UTP3,2,0.08
VNN2,2,0.08
VPS54,2,0.08
ZBTB18,2,0.08
ZNF770,2,0.08
ACTN3,1,0.04
ARHGEF3,1,0.04
ATP6V0E2,1,0.04
BICD2,1,0.04
BTBD10,1,0.04
C6orf211,1,0.04
CAP1,1,0.04
CBX3,1,0.04
CCT4,1,0.04
CEBPZ,1,0.04
CKLF,1,0.04
CMTM6,1,0.04
COPB1,1,0.04
CRAT,1,0.04
CYP4F3,1,0.04
DCAF12,1,0.04
DHRS7,1,0.04
DUSP6,1,0.04
ECHDC1,1,0.04
EIF1AY,1,0.04
EIF2S2,1,0.04
FAM13B,1,0.04
FAXDC2,1,0.04
FBXO7,1,0.04
FGD4,1,0.04
GIMAP7,1,0.04
GOLGA4,1,0.04
GPR137,1,0.04
GPR4,1,0.04
GTF2E1,1,0.04
GTF2I,1,0.04
HLTF,1,0.04
HNRNPR,1,0.04
HSD3B1,1,0.04
ICE1,1,0.04
IFNGR1,1,0.04
IGF2R,1,0.04
IKBIP,1,0.04
KANSL2,1,0.04
LAMB4,1,0.04
MAGEE2,1,0.04
MAPRE1,1,0.04
MARCH8,1,0.04
MKKS,1,0.04
MOAP1,1,0.04
MRPL1,1,0.04
MSMB,1,0.04
NCF2,1,0.04
NDUFA4,1,0.04
NR3C1,1,0.04
PAPSS1,1,0.04
PASK,1,0.04
PIM1,1,0.04
RAD1,1,0.04
RCSD1,1,0.04
RECQL,1,0.04
RLN3,1,0.04
RPA2,1,0.04
RPS27,1,0.04
RPS3,1,0.04
SARAF,1,0.04
SEC62,1,0.04
SLC13A3,1,0.04
SLC40A1,1,0.04
SLK,1,0.04
SLU7,1,0.04
SNRPA1,1,0.04
SNX4,1,0.04
SULF2,1,0.04
TCF20,1,0.04
TCF25,1,0.04
TGFBI,1,0.04
TUBB2A,1,0.04
UIMC1,1,0.04
UNC50,1,0.04
USP33,1,0.04
XPO1,1,0.04
ZNF200,1,0.04
ZNF45,1,0.04
ZNF564,1,0.04
